,Study,Patient ID,Site,Name,age,weight,breed,gender,Tumor Location,PH vs NPH,PH,ALP,Group,DFI,DFI_censor,Survival (days from sx),Surv_censor,sample,Collection time point,"(Tumor/normal/met, unknown)",Sample Location,slide,Halo Box Folder
0,SOC,102,UT,Sammie,6.5,42.3,Great Pyrenees,Female Phenotype,Right distal radius,NPH,0,Normal,NPHNALP,60,1,82,1,0102 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 17.20.49.ndpi,DOG2 Batch 2
1,SOC,102,UT,Sammie,6.5,42.3,Great Pyrenees,Female Phenotype,Right distal radius,NPH,0,Normal,NPHNALP,60,1,82,1,0102 Tumor B,Surgery,Tumor,Primary Tumor,2022-01-10 16.26.13.ndpi,Box 9
2,SOC,104,UT,Cosmo,11.5,33.2,Labrador Retriever,Male Phenotype,Left proximal humerus,PH,1,Normal,PHNALP,1102,0,1277,0,0104 Tumor A,Surgery,Tumor,Primary Tumor,2022-01-10 16.41.35.ndpi,Box 9
3,SOC,104,UT,Cosmo,11.5,33.2,Labrador Retriever,Male Phenotype,Left proximal humerus,PH,1,Normal,PHNALP,1102,0,1277,0,0104 Tumor B,Surgery,Tumor,Primary Tumor,2022-01-10 16.50.24.ndpi,Box 9
4,SOC,106,UT,Manny,9.6,36.8,Greyhound,Castrated male,Right distal tibia,NPH,0,Normal,NPHNALP,384,1,386,1,0106 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 17.41.20.ndpi,DOG2 Batch 2
5,SOC,106,UT,Manny,9.6,36.8,Greyhound,Castrated male,Right distal tibia,NPH,0,Normal,NPHNALP,384,1,386,1,0106 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 17.44.30.ndpi,DOG2 Batch 2
6,SOC,202,CSU,Mini,6.7,48.1,Great Dane,Spayed female,Left distal radius ,NPH,0,Normal,NPHNALP,62,1,115,1,0202 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-23 14.00.32.ndpi,DOG2 original
7,SOC,202,CSU,Mini,6.7,48.1,Great Dane,Spayed female,Left distal radius ,NPH,0,Normal,NPHNALP,62,1,115,1,0202Tumor B,Surgery,Tumor,Primary Tumor,2021-04-23 14.04.29.ndpi,DOG2 original
8,SOC,204,CSU,Daisy,10.5,27.4,American Staffordshire Terrier,Spayed female,Right proximal tibia,NPH,0,Elevated,NPHEALP,173,1,194,0,0204 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 17.47.44.ndpi,DOG2 Batch 2
9,SOC,204,CSU,Daisy,10.5,27.4,American Staffordshire Terrier,Spayed female,Right proximal tibia,NPH,0,Elevated,NPHEALP,173,1,194,0,0204 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 17.52.24.ndpi,DOG2 Batch 2
