slide,OB,CB,FB,GC,HN,VR
2021-04-22 13.48.06,487489,324,4968,0,3567,361
2021-04-22 13.52.10,233905,0,0,0,369253,159971
2021-04-22 14.01.37,194650,0,4005,0,14711,0
2021-04-22 14.05.58,136597,6455,0,0,37895,0
2021-04-22 14.17.26,181037,0,0,0,0,0
2021-04-22 14.26.53,159494,0,4336,0,0,0
2021-04-22 14.31.23,199891,0,1464,0,27591,21822
2021-04-22 14.34.38,306603,609,2269,0,17655,15413
2021-04-22 14.39.00,317634,0,0,0,2533,0
2021-04-22 14.45.24,541115,0,19190,0,0,0
2021-04-22 14.55.22,411122,0,324,0,2516,0
2021-04-22 15.03.57,358110,2823,4175,0,16886,1156
2021-04-22 15.26.05,237697,972,2822,0,4736,325
2021-04-22 15.34.37,216913,324,0,0,122712,0
2021-04-22 15.44.27,23372,0,1533,0,9235,0
2021-04-22 15.50.11,104291,7675,15693,0,7667,0
2021-04-22 15.57.53,199791,0,0,0,312366,10765
2021-04-22 16.03.43,54064,0,0,0,656281,130312
2021-04-22 16.10.14,1680524,0,0,0,438595,20327
2021-04-22 16.18.29,2489519,0,0,0,168504,29007
2021-04-22 16.30.53,1721238,0,0,0,4701,3501
2021-04-22 16.38.29,4004,0,0,0,0,0
2021-04-22 16.42.09,19487,0,2135,0,0,7
2021-04-22 16.45.37,75286,0,0,0,6041,8617
2021-04-22 16.47.46,1687568,0,1153,0,899415,8843
2021-04-22 17.02.20,1687225,120207,8552,0,770644,0
2021-04-22 17.15.07,162962,0,0,0,6458,16351
2021-04-22 17.27.42,538824,0,1644,0,3821,2317
2021-04-22 17.42.59,72253,0,0,0,683,0
2021-04-22 17.51.17,105125,0,2349,0,11964,666
2021-04-22 18.01.13,2140723,1962,0,0,6245,7359
2021-04-22 18.11.58,761941,0,1894,0,5840,6514
2021-04-22 18.21.02,743016,8157,3622,0,0,0
2021-04-22 18.29.40,4057530,6591,0,0,20645,0
2021-04-22 18.42.33,42721,0,324,0,3784,0
2021-04-22 18.50.37,150675,0,2315,0,1575,324
2021-04-22 19.00.10,758251,0,0,0,513,0
2021-04-22 19.07.49,815450,0,0,0,494,1
2021-04-22 19.17.41,618435,0,0,0,354,486
2021-04-22 19.23.50,4974,0,3419,0,0,0
2021-04-22 19.30.25,425442,0,0,0,6985,0
2021-04-22 19.36.12,827495,0,0,0,2112,8160
2021-04-22 19.42.48,572314,0,0,534318,2065,0
2021-04-22 19.48.51,608243,0,0,374327,342,0
2021-04-22 19.54.02,1056240,121437,0,810,106817,24305
2021-04-22 19.59.40,3453,0,0,0,34580,12865
2021-04-22 20.03.45,44287,0,150152,0,87247,0
2021-04-22 20.09.40,10608,0,102131,0,1378,0
2021-04-22 20.16.14,1022745,0,795,0,54285,4842
2021-04-22 20.21.38,991220,0,0,0,5851,2466
2021-04-22 20.26.50,492393,210,0,0,367987,0
2021-04-22 20.34.19,60392,0,6196,0,0,0
2021-04-22 20.39.58,78836,0,413690,0,0,2458
2021-04-22 20.43.04,442631,0,334,0,1055,2256
2021-04-22 20.47.02,927659,0,0,0,16975,883
2021-04-22 20.52.25,43558,0,0,0,25620,0
2021-04-22 21.00.02,40473,0,0,0,486,100694
2021-04-22 21.04.21,24696,0,0,0,1395,54190
2021-04-22 21.09.14,940314,0,633,0,0,6911
2021-04-23 10.36.16,400872,0,0,0,41645,0
2021-04-23 10.48.14,1523889,0,1234,324,1237,5592
2021-04-23 10.59.46,3876558,9179,3109,0,0,478744
2021-04-23 11.12.26,74336,0,0,0,513,0
2021-04-23 11.14.35,807,0,0,0,0,0
2021-04-23 11.19.33,55066,32862,0,0,53398,2839
2021-04-23 11.28.07,409567,85714,490,0,11285,324
2021-04-23 11.42.16,31658,0,0,0,324,0
2021-04-23 11.48.16,97527,0,0,0,0,0
2021-04-23 11.55.05,708552,0,0,0,250857,32768
2021-04-23 12.03.01,386767,0,0,0,37611,103081
2021-04-23 12.11.01,123479,0,1069,0,0,0
2021-04-23 12.19.34,25859,0,0,0,0,0
2021-04-23 12.23.51,28400,0,0,0,648,0
2021-04-23 12.29.59,407490,165389,0,0,380810,1924
2021-04-23 12.38.39,141489,0,0,0,2,0
2021-04-23 12.50.11,19462,0,0,0,0,0
2021-04-23 12.57.42,207423,0,0,0,7902,22884
2021-04-23 13.02.38,604739,0,0,0,0,0
2021-04-23 13.06.10,123481,0,0,0,0,0
2021-04-23 13.09.37,15887,0,0,0,2383,0
2021-04-23 13.14.29,283643,0,485,0,130172,0
2021-04-23 13.18.02,154516,0,1420,0,1955,0
2021-04-23 13.23.44,107940,21895,0,0,3413,0
2021-04-23 13.27.57,344,0,0,0,1775,0
2021-04-23 13.31.22,656374,0,0,0,168124,77662
2021-04-23 13.36.59,249528,0,0,0,30108,258446
2021-04-23 13.45.47,256680,0,0,0,3117,547165
2021-04-23 13.50.55,162930,0,0,0,4394,653695
2021-04-23 13.56.04,27023,0,810,0,342,0
2021-04-23 14.00.32,49425,12381,0,0,0,0
2021-04-23 14.04.29,43232,324,0,0,489,0
2021-04-23 14.09.26,648056,0,0,0,72456,0
2021-04-23 14.16.35,438660,0,1215,0,1927,0
2021-04-23 14.25.03,425968,1942,0,0,6417,0
2021-04-23 14.32.00,810384,0,0,0,1899,1633
2021-04-23 14.38.02,54356,0,0,0,1681,15418
2021-04-23 14.44.27,491376,0,4414,0,330439,324
2021-04-23 14.52.35,326973,0,1865,0,389298,1980
2021-04-23 15.00.45,356793,435,5983,0,1096400,24029
2021-04-23 15.14.52,1189298,0,8246,0,83843,48917
2021-04-23 15.21.05,302908,3064,72480,0,3239,0
2021-04-23 15.26.57,228605,756,100095,0,2753,0
2021-04-23 15.33.30,249060,0,7551,0,0,0
2021-04-23 15.35.52,257233,0,1376,0,0,1618
2021-04-23 15.41.08,139430,361,6636,0,7508,0
2021-04-23 15.46.52,57558,0,1960,0,0,0
2021-04-23 15.50.24,479604,0,0,0,1640,759
2021-04-23 15.58.26,26696,0,403626,0,0,0
2021-04-23 16.04.06,30215,0,320502,0,508,0
2021-04-23 16.12.01,19139,0,1273,0,3069,0
2021-04-23 16.17.43,17846,0,3743,0,0,0
2021-04-23 16.22.15,214996,0,19295,0,1547,0
2021-04-23 16.26.05,992856,0,1027,324,324,324
2021-04-23 16.31.48,578963,28321,828,0,325958,0
2021-04-23 16.37.33,398736,50332,1153,0,252886,0
2021-04-23 16.42.40,976325,0,16839,0,429,0
2021-04-23 16.50.36,872111,0,12317,0,0,0
2021-04-23 16.56.05,960783,0,0,0,36960,0
2021-04-23 17.01.30,0,0,0,0,0,0
2021-04-23 17.07.31,0,0,0,0,0,0
2021-04-24 09.07.33,441063,0,0,21,139574,324
2021-04-24 09.13.11,329152,670466,0,0,338752,0
2021-04-24 09.20.38,501227,555376,0,0,526491,0
2021-04-24 09.28.16,402179,0,486,0,180700,342
2021-04-24 09.33.31,1055808,0,0,0,138142,13029
2021-04-24 09.41.08,763401,3106,1792,0,161365,20379
2021-04-24 09.47.02,1044994,5007,3597,0,38471,486
2021-04-24 09.53.43,934904,4723,486,0,30223,2942292
2021-04-24 10.02.59,64375,0,5075,0,0,0
2021-04-24 10.12.33,820611,0,2093,0,29912,1133
2021-04-24 10.23.17,0,0,0,0,0,0
2021-04-24 10.26.59,192661,0,0,0,666,0
2021-04-24 10.32.31,131614,0,10781,0,3033,0
2021-04-24 10.35.56,443140,1605,41764,0,4169,0
2021-04-24 10.39.38,107533,0,0,0,519520,756
2021-04-24 10.45.37,166606,102830,783,0,322289,0
2021-04-24 10.51.35,153578,0,247047,0,4527,0
2021-04-24 10.56.58,559199,0,3793,0,871863,9851
2021-04-24 11.04.39,39768,0,0,0,77750,359470
2021-04-24 11.10.08,54684,0,324,0,675,0
2021-04-24 11.13.55,82336,0,0,0,4754,5953
2021-04-24 11.17.54,1386481,4106,4035,0,220600,0
2021-04-24 11.26.32,1211205,327,674,0,235153,486
2021-12-02 10.19.46,1349107,18777,0,0,972,25484
2021-12-02 10.27.49,3404918,259311,0,0,106760,164494
2021-12-02 10.40.29,133539,0,0,0,19244,461
2021-12-02 10.44.45,62998,0,0,0,4455,0
2021-12-02 10.56.35,325982,240,0,0,808,4642
2021-12-02 11.01.21,79516,0,0,0,4243,0
2021-12-02 11.05.01,19506,0,0,0,0,0
2021-12-02 11.08.27,8003,0,0,0,0,0
2021-12-02 11.11.29,663065,20372,1489,0,1184,332
2021-12-02 11.20.12,10157,0,0,0,0,0
2021-12-02 11.23.20,93683,0,0,0,23282,35716
2021-12-02 11.28.25,43863,0,0,0,16355,4051
2021-12-02 11.31.43,30525,0,16218,0,2436,1004
2021-12-02 11.34.57,39546,968,0,0,0,0
2021-12-02 11.38.09,101360,648,0,0,20243,665
2021-12-02 11.44.17,302034,6761,4087,0,58698,0
2021-12-02 11.51.58,174682,0,810,0,2470,1498
2021-12-02 11.57.13,915179,18391,6429,0,6999,1718
2021-12-02 12.05.58,139488,324,0,0,15892,0
2021-12-02 12.19.08,152559,0,0,0,0,0
2021-12-02 12.22.25,4972,0,0,0,50,0
2021-12-02 12.25.48,325,0,0,0,0,0
2021-12-02 12.28.01,2356,0,0,0,6573,32232
2021-12-02 12.31.21,34198,0,324,0,2,0
2021-12-02 12.53.55,619912,4401,0,0,17156,105714
2021-12-02 13.08.12,143516,0,0,0,0,47770
2021-12-02 13.15.09,171997,0,0,0,3490,341004
2021-12-02 13.21.06,7616,0,0,0,24198,141916
2021-12-02 13.29.32,76726,0,0,0,0,1152
2021-12-02 13.33.48,107864,1,0,0,0,175963
2021-12-02 13.41.11,221519,0,0,0,56227,250169
2021-12-02 13.47.24,4153,1412,0,0,0,30159
2021-12-02 13.54.17,3526,0,0,0,0,214823
2021-12-02 14.04.11,22099,0,0,0,415069,86961
2021-12-02 14.10.08,0,0,0,0,0,862989
2021-12-02 14.21.23,486,0,0,0,0,11526
2021-12-02 14.25.16,11434,0,0,0,0,127066
2021-12-02 14.28.24,191857,0,0,0,116827,89963
2021-12-02 14.35.04,35637,0,0,0,61137,223100
2021-12-02 14.40.03,55060,0,0,0,52921,150621
2021-12-02 14.49.42,7972,0,0,0,488029,61029
2021-12-02 14.56.31,1619711,0,0,0,205169,393559
2021-12-02 15.05.06,100874,113770,0,0,345030,8641
2021-12-02 15.12.59,686825,294380,0,0,50699,3775
2021-12-02 15.18.25,67033,18155,0,0,49095,0
2021-12-02 15.21.50,548944,63370,14742,0,4590,17295
